检查项目 | 英文名 | 别名 | 分类 

白细胞数 | White Blood Cell count | WBC | 临床血液检查
甲型肝炎抗原 | Heat Lysis Test | HAV-Ag | 血清学检查
蔗糖水溶血试验 | Sucrose Lysis Test | 血液糖水溶血试验；SHT | 临床血液检查
抗甲型肝炎病毒IgA抗体 | Sucrose Lysis Test | 抗-HAV-IgA | 血清学检查
甲型肝炎抗体 | Sucrose Lysis Test | 抗-HAV；HAV-Ab | 血清学检查
乙型肝炎表面抗原 | Sucrose Lysis Test | HBsAg | 血清学检查
乙型肝炎表面抗体 | Sucrose Lysis Test | 抗-HBs；HBsAb | 血清学检查
乙型肝炎核心抗原 | hepatitis B core antigen | HBcAg | 血清学检查
乙型肝炎核心抗体 | hepatitis B core antigen | 抗-HBc；HBcAb | 血清学检查
乙型肝炎核心抗体免疫球蛋白M | hepatitis B core antigen | 抗-HBc-IgM | 血清学检查
乙型肝炎核心抗体免疫球蛋白G | hepatitis B core antigen | 抗-HBc-IgG | 血清学检查
乙型肝炎e抗原 | hepatitis B core antigen | HBeAg | 血清学检查
乙型肝炎e抗体 | hepatitis B core antigen | 抗-HBe；HBeAb | 血清学检查
酸溶血试验 | hepatitis B core antigen | Ham试验 | 临床血液检查
丙型肝炎RNA | hepatitis B core antigen | HCV-RNA | 血清学检查
抗丙型肝炎病毒IgA抗体 | hepatitis B core antigen | 抗-HCV-IgA | 血清学检查
丙型肝炎病毒抗体免疫球蛋白G | hepatitis B core antigen | 抗-HCV-IgG | 血清学检查
丙型肝炎病毒抗体免疫球蛋白M | hepatitis B core antigen | 抗-HCV-IgM | 血清学检查
丁型肝炎抗原 | hepatitis B core antigen | δ肝炎抗原；HDAg | 血清学检查
丁型肝炎抗体 | hepatitis B core antigen | δ抗体；HDAg抗δ | 血清学检查
抗丁型肝炎病毒IgG抗体 | hepatitis B core antigen | 抗-HDV-IgG | 血清学检查
抗丁型肝炎病毒IgM抗体 | hepatitis B core antigen | 抗-HDV-IgM | 血清学检查
抗戊型肝炎病毒抗体 | hepatitis B core antigen | 抗-HEV | 血清学检查
抗戊型肝炎病毒IgG抗体 | hepatitis B core antigen | 抗-HEV-IgG | 血清学检查
抗戊型肝炎病毒IgM抗体 | hepatitis B core antigen | 抗-HEV-IgM | 血清学检查
抗庚型肝炎病毒E2抗体 | hepatitis B core antigen | 抗-HGV-E2 | 血清学检查
抗庚型肝炎病毒IgG抗体 | hepatitis B core antigen | 抗-HGV-IgG | 血清学检查
乙型肝炎病毒前S2抗原 | hepatitis B core antigen | Pre-S2 | 血清学检查
乙型肝炎病毒抗-前S2抗体 | hepatitis B core antigen | 抗-PreS2 | 血清学检查
柯萨奇病毒抗体 | hepatitis B core antigen | anti-CVA | 血清学检查
埃可病毒抗体 | hepatitis B core antigen | anti-EVA | 血清学检查
流感病毒抗体 | hepatitis B core antigen |   | 血清学检查
副流感病毒抗体 | hepatitis B core antigen | anti-PIV | 血清学检查
人巨细胞病毒抗体 | hepatitis B core antigen | anti-CMV | 血清学检查
呼吸道合胞病毒抗体 | hepatitis B core antigen | anti-RSV | 血清学检查
风疹病毒抗体 | hepatitis B core antigen |   | 血清学检查
腺病毒抗体 | hepatitis B core antigen | anti-Ad | 血清学检查
腮腺炎病毒抗体 | hepatitis B core antigen | anti-MMV | 血清学检查
流行性出血热病毒抗体 | hepatitis B core antigen | anti-EHF | 血清学检查
单纯疱疹病毒抗体 | hepatitis B core antigen | anti-HSV | 血清学检查
EB病毒抗体 | hepatitis B core antigen | EBVCA-IgA | 血清学检查
轮状病毒抗体 | hepatitis B core antigen | anti-HRV | 血清学检查
军团菌血清学试验 | hepatitis B core antigen |   | 血清学检查
脊髓灰质炎病毒抗体 | hepatitis B core antigen | anti-POV | 血清学检查
自身溶血试验 | Auto Hemolysis Test | AHT | 临床血液检查
麻疹病毒抗体 | Auto Hemolysis Test | anti-MV | 血清学检查
乙型脑炎病毒抗体 | Auto Hemolysis Test | anti-EPVB | 血清学检查
人类免疫缺陷病毒抗体 | Auto Hemolysis Test | HIV | 血清学检查
阿米巴原虫抗原和抗体 | Auto Hemolysis Test |   | 血清学检查
疟原虫抗原和抗体 | Auto Hemolysis Test |   | 血清学检查
血栓调节蛋白抗原 | Auto Hemolysis Test | TM：Ag | 血清学检查
甲种胎儿球蛋白试验 | Auto Hemolysis Test | AFP | 血清学检查
血清癌胚抗原 | Auto Hemolysis Test | CEA | 血清学检查
糖链抗原50 | Auto Hemolysis Test | CA50 | 血清学检查
糖链抗原15-3 | Auto Hemolysis Test | CA15-3 | 血清学检查
氰化高铁Hb测定法 | Auto Hemolysis Test | MRT | 临床血液检查
糖链抗原125 | Auto Hemolysis Test | CA125 | 血清学检查
糖链抗原72-4 | Auto Hemolysis Test | CA72-4 | 血清学检查
糖链抗原242 | Auto Hemolysis Test | CA242 | 血清学检查
糖链抗原19-9 | Auto Hemolysis Test | CA19-9 | 血清学检查
神经元特异性烯醇化酶 | euron-specific enolase | NSE | 血清学检查
端粒酶活性 | euron-specific enolase | TR | 血清学检查
前列腺特异性酸性磷酸酶 | rostatic acid phosphatase | PAP | 血清学检查
鳞状上皮细胞癌抗原 | quamous cell carcinoma antigen | SCC | 血清学检查
组织多肽抗原 | tissue polypeptide antigen | TPA | 血清学检查
前列腺特异性抗原 | rostate specific antigen | PSA | 血清学检查
十二烷基硫酸钠Hb测定法 | rostate specific antigen |   | 临床血液检查
碱性胚胎蛋白 | asic fetoprotein | BFP | 血清学检查
胎儿胰腺腺泡蛋白 | fetoacinar pancreatic protein | FAP | 血清学检查
胰胚抗原 | ancreatic oncotetal antigen | POA | 血清学检查
人酸性铁蛋白 | acidic isoferitin | AIF | 血清学检查
肝癌铁蛋白 | hepatoma ferritin | HF | 血清学检查
细胞角质蛋白19片段 | hepatoma ferritin | CYFRA21-1 | 血清学检查
p53蛋白 | hepatoma ferritin |   | 血清学检查
免疫抑制酸性蛋白 | immunosuppressive acidic protein | IAP | 血清学检查
肿瘤相关抗原 | tumor relative antigen | MG-AgSS | 血清学检查
流行性脑脊髓膜炎免疫学试验 | tumor relative antigen |   | 血清学检查
冷溶血试验 | tumor relative antigen | 多-兰二氏试验；D-LT | 临床血液检查
叠氮高铁血红蛋白 | tumor relative antigen |   | 临床血液检查
密螺旋体活动试验 | treponema pallidum | TPIT | 血清学检查
荧光法密螺旋体抗体吸附试验 | fluorescent treponemal anti-body-absorption | FTA-ABS | 血清学检查
螺旋体蛋白补体结合试验 | fluorescent treponemal anti-body-absorption | RPCFT | 血清学检查
钩端螺旋体乳胶凝集试验 | fluorescent treponemal anti-body-absorption | LAIT | 血清学检查
血吸虫尾蚴膜反应 | fluorescent treponemal anti-body-absorption | CHR | 血清学检查
血吸虫斑点酶联免疫吸附试验 | fluorescent treponemal anti-body-absorption | DOT-ELISA | 血清学检查
囊虫胶乳凝集试验 | fluorescent treponemal anti-body-absorption | LAT | 血清学检查
弓形虫点免疫金渗滤法 | fluorescent treponemal anti-body-absorption | DIGFA | 血清学检查
并殖吸虫后尾蚴膜反应 | fluorescent treponemal anti-body-absorption | MCHR | 血清学检查
全血糖化Hb | Glucosylated Hemoglobin | GHb | 临床血液检查
抗人球蛋白试验 | Glucosylated Hemoglobin | Coombs试验 | 临床血液检查
生长激素 | Glucosylated Hemoglobin | CH | 激素类测定
催乳素 | Glucosylated Hemoglobin | 泌乳素；PRL | 激素类测定
促卵泡成熟激素 | Glucosylated Hemoglobin | 卵泡刺激素；FSH | 激素类测定
黄体生成素 | Glucosylated Hemoglobin | LH | 激素类测定
抗利尿激素 | Glucosylated Hemoglobin | 垂体后叶加压素；ADH | 激素类测定
催产素 | Oxytocin | 缩宫素；OT | 激素类测定
促甲状腺激素 | Thyroid Stimulating Hormone | TSH | 激素类测定
总甲状腺素 | Thyroid Stimulating Hormone | TT4 | 激素类测定
血清甲状腺素 | Thyroid Stimulating Hormone | T4 | 激素类测定
游离甲状腺素 | Thyroid Stimulating Hormone | FT4 | 激素类测定
嗜碱性粒细胞数 | Thyroid Stimulating Hormone | B | 临床血液检查
红细胞碱粒凝集试验 | Thyroid Stimulating Hormone |   | 临床血液检查
游离甲状腺指数 | Thyroid Stimulating Hormone | FT4I | 激素类测定
总三碘甲状腺原氨酸 | Thyroid Stimulating Hormone | TT3 | 激素类测定
血清三碘甲状腺原氨酸 | Thyroid Stimulating Hormone | T3 | 激素类测定
游离三碘甲状腺原氨酸 | Thyroid Stimulating Hormone | FT3 | 激素类测定
游离三碘甲状腺原氨酸指数 | Thyroid Stimulating Hormone | FT3I | 激素类测定
反三碘甲状腺原氨酸 | Thyroid Stimulating Hormone | rT3 | 激素类测定
三碘甲状腺原氨酸摄取率 | Thyroid Stimulating Hormone | T3U | 激素类测定
甲状腺素结合球蛋白 | thyroxine-binding globulin | TBG | 激素类测定
促甲状腺激素释放激素 | thyrotropin-releasing hormone | TRH | 激素类测定
血清蛋白结合碘 | thyrotropin-releasing hormone | PBI | 激素类测定
血小板计数 | Blood Platelet Count | BPC | 临床血液检查
血清丁醇提取碘 | Blood Platelet Count | BEI | 激素类测定
甲状腺131碘吸收率 | Blood Platelet Count |   | 激素类测定
甲状腺球蛋白 | thyrobolulin | TG | 激素类测定
甲状旁腺激素 | Parathyroid Hormone | PTH | 激素类测定
降钙素 | Calcitonin | CT | 激素类测定
促肾上腺皮质激素 | Adrenocorticotropic Hormone | ACTH | 激素类测定
血浆皮质醇 | Cortisolinserum | COR | 激素类测定
尿17-酮类固醇 | 17-ketosteroide | 17-KS | 激素类测定
尿17-生酮类固醇 | 17-ketosteroide | 17-KGS | 激素类测定
血小板平均体积 | mean platelet volume | MPV | 临床血液检查
血浆醛固酮 | aldosterone | Ald | 激素类测定
血浆18-羟-脱氧皮质酮 | aldosterone | 18-OH-DOC | 激素类测定
血浆11-脱氧皮质酮 | aldosterone | DOC | 激素类测定
血浆18-羟-皮质酮 | aldosterone | 18-OH-B | 激素类测定
血浆游离皮质醇 | aldosterone |   | 激素类测定
肾素活性 | Renin Activity | PRA | 激素类测定
血管紧张素Ⅰ | Angiotensin-Ⅰ | AⅠ；AT-Ⅰ | 激素类测定
血管紧张素Ⅱ | Angiotensin-Ⅱ | AⅡ；AT-Ⅱ | 激素类测定
β-促黑素细胞激素 | Angiotensin-Ⅱ |   | 激素类测定
儿茶酚胺 | catecholamine | CA | 激素类测定
血小板比积 | Platelet Crit | PCT | 临床血液检查
去甲-3-甲氧肾上腺素 | Platelet Crit | NM | 激素类测定
3-甲氧基肾上腺素 | Platelet Crit | M | 激素类测定
4-羟基-3-甲氧基扁桃酸 | Vanillyl-mandelic Acid in Urine | VMA | 激素类测定
5-羟色胺 | 5-hydroxytryptamin | 5-HT | 激素类测定
5-羟吲哚乙酸 | 5-hydroxyindoleaceticacid | 5-HIAA | 激素类测定
睾酮 | testosterone | 睾丸素；T | 激素类测定
脱氢表雄酮 | dehydroepiandrosterone | DHEA | 激素类测定
雌激素 | dehydroepiandrosterone |   | 激素类测定
雌二醇 | estradiol | E2 | 激素类测定
雌三醇 | estriol | E3 | 激素类测定
血小板寿命 | estriol | 血小板生存时间；PLS | 临床血液检查
孕酮 | rogesterone | 黄体酮；P | 激素类测定
人绒毛膜促性腺激素 | human choionic gonadotophin | HCG | 激素类测定
双氢睾酮 | dihydrotestosterone | DHT | 激素类测定
雄烯二酮 | dihydrotestosterone | DHT | 激素类测定
血浆17-羟孕酮 | 17-α-hydoxy progesterone | 17α-OHP | 激素类测定
胰岛素 | Insulin in Serum | INS | 激素类测定
胰岛细胞抗体 | islet cell antibody | ICA | 激素类测定
胰岛素抗体 | Insulin Antibody |   | 激素类测定
胰岛细胞膜抗体 | Insulin Antibody | ICAS | 激素类测定
胰岛素原 | roinsulin |   | 激素类测定
血小板黏附功能试验 | latelet adherence test | PAdT | 临床血液检查
C-肽 | latelet adherence test | C-PEP | 激素类测定
胰高血糖素 | glucagon | PG | 激素类测定
钙调素 | calmodulin | CaM | 激素类测定
胃泌素 | gastrin | G | 激素类测定
缩胆囊素 | cholecystokinin | CCK | 激素类测定
胰泌素 | Secretin | 促胰腺素 | 激素类测定
胰多肽 | anoreatio polypeptide | PP | 激素类测定
肠血管活性肽 | vasoactive intestinal peptide | VIP | 激素类测定
血栓素B2 | thromboxane | TXB2 | 激素类测定
血小板凝集功能试验 | latelet agglutination test | PAgT | 临床血液检查
6-酮前列腺素F1α | 6-Keto-PGF1α | 6-酮-PGF1α | 激素类测定
心钠素 | Atrial Natriuretic Peptide | ANP | 激素类测定
内皮素 | Endothelin | ET | 激素类测定
血清骨钙素 | Osteocalcin | 骨R-羟基谷氨酸蛋白；BGP | 激素类测定
骨髓有核细胞总数 | Osteocalcin |   | 骨髓细胞学检查
骨髓增生程度 | Marrow Proliferation Analysis |   | 骨髓细胞学检查
骨髓巨核细胞数和分类 | Megakaryocyte System |   | 骨髓细胞学检查
骨髓粒细胞系统 | Cranulocyte System |   | 骨髓细胞学检查
骨髓红细胞系统 | Erythrocyte System |   | 骨髓细胞学检查
骨髓淋巴细胞系统 | Lymphocyte System |   | 骨髓细胞学检查
血小板第Ⅲ因子有效性试验 | latelet factor 3 | PF3 | 临床血液检查
骨髓单核细胞系统 | Monocyte System |   | 骨髓细胞学检查
骨髓浆细胞系统 | Plasmacyte System |   | 骨髓细胞学检查
骨髓其他细胞 | Plasmacyte System |   | 骨髓细胞学检查
粒细胞与红细胞比值 | Granulocyte∶Erythrocyte | 粒∶红 | 骨髓细胞学检查
骨髓异常细胞和寄生虫 | Granulocyte∶Erythrocyte |   | 骨髓细胞学检查
骨髓细菌培养 | Granulocyte∶Erythrocyte |   | 骨髓细胞学检查
α-茶酚醋酸酯酶染色 | alpha-naphthol acetate esterase stain | α-ANE；NSE | 血细胞化学染色
醋酸AS-D茶酚脂酶染色 | alpha-naphthol acetate esterase stain | AS-DCE | 血细胞化学染色
醋酸AS-茶酚酯酶染色 | alpha-naphthol acetate esterase stain |   | 血细胞化学染色
脱氧核糖核酸染色 | Deoxyribonucleic Acid Stain | DNA | 血细胞化学染色
毛细血管脆性试验 | Capillary Fragility Test | CFT | 临床血液检查
过氧化酶染色 | Peroxidase Stain | POX | 血细胞化学染色
碱性磷酸酶染色 | Alkaline Phosphatase Stain | NAP；ALP | 血细胞化学染色
酸性磷酸酶染色 | Acid Phosphatase Stain | ACP | 血细胞化学染色
糖原染色 | Glycogenstain | PAS | 血细胞化学染色
核糖核酸染色 | Ribonucleic Acid Stain | RNA | 血细胞化学染色
铁染色 | Irongranules Stain | IS | 血细胞化学染色
phi(φ)小体染色 | Irongranules Stain |   | 血细胞化学染色
特异性脂酶染色 | Specific Esterase Stain | SE | 血细胞化学染色
苏丹黑B染色 | Sudan black B stain | SBB | 血细胞化学染色
胶体铁染色 | Sudan black B stain |   | 血细胞化学染色
出血时间 | leeding time | BT | 临床血液检查
阿利新蓝染色 | Alcian blue |   | 血细胞化学染色
尿比重 | Urine Specific Gravity | SG | 体液和排泄物检查
尿渗透压 | Urine Osmole | 尿渗量；OSM | 体液和排泄物检查
尿液颜色 | Urine Color | 尿色 | 体液和排泄物检查
尿透明度 | Transparency |   | 体液和排泄物检查
尿酸度 | Urine pH | H | 体液和排泄物检查
尿沉渣管型检查 | Urine pH |   | 体液和排泄物检查
尿沉渣结晶检查 | Urine pH |   | 体液和排泄物检查
尿沉渣12小时计数 | Addis Count | 爱迪(Addis)计数 | 体液和排泄物检查
淋巴细胞数 | Lymphocyte | L | 临床血液检查
凝血时间 | clotting time | CT | 临床血液检查
尿沉渣3小时计数 | one hour sediment examination of urine | 1h尿沉渣计数 | 体液和排泄物检查
尿蛋白质 | Urine Protein | TRO | 体液和排泄物检查
尿蛋白定量 | Urine Protein Quantitation |   | 体液和排泄物检查
尿血红蛋白定性 | Urine Hemoglobin | 潜血试验 | 体液和排泄物检查
尿酮体试验 | Urine Acetome Bodies | UABT | 体液和排泄物检查
尿糖 | Urine Glucose | US | 体液和排泄物检查
尿胆红素 | Urine Bilirubin | BIL | 体液和排泄物检查
尿胆原 | Urobilinogen | URO | 体液和排泄物检查
尿胆素 | Urobilin |   | 体液和排泄物检查
尿乳糖 | Urobilin |   | 体液和排泄物检查
凝血酶原时间 | Prothrombin Time | PT | 临床血液检查
尿半乳糖 | Prothrombin Time |   | 体液和排泄物检查
尿果糖 | Prothrombin Time |   | 体液和排泄物检查
尿戊糖 | Prothrombin Time |   | 体液和排泄物检查
乳糜尿定性试验 | Urine Chyle |   | 体液和排泄物检查
尿脂肪 | lipiduria |   | 体液和排泄物检查
尿三杯试验 | Three Cup Test of Urine |   | 体液和排泄物检查
尿尿酸 | uric acid | UUA | 体液和排泄物检查
尿肌酸 | uric acid | UCre | 体液和排泄物检查
尿肌酐 | uric acid | UCr | 体液和排泄物检查
尿总氮 | uric acid |   | 体液和排泄物检查
部分凝血活酶时间 | Partial Thromboplastin Time | PTT | 临床血液检查
尿素氮 | Blood Urea Nitrogen | BUN | 体液和排泄物检查
尿尿素 | ure | UREA | 体液和排泄物检查
尿氨氮 | ure |   | 体液和排泄物检查
尿氨基酸氮 | ure | AAN | 体液和排泄物检查
尿肌红蛋白 | Myogolbin | UMb | 体液和排泄物检查
尿TH蛋白 | Tamm-Harsefall | THP | 体液和排泄物检查
尿微量清蛋白 | Tamm-Harsefall | mAIb | 体液和排泄物检查
部分凝血活酶活性时间 | Activated Partial Thromboplastin Time | 活化部分凝血活酶时间；APTT | 临床血液检查
尿淀粉酶 | Amylase，AMS或AMY | UAMY | 体液和排泄物检查
尿钾 | Potassium，K | K | 体液和排泄物检查
尿钠 | Sodium，Na | Na | 体液和排泄物检查
尿氯 | chloride | Cl | 体液和排泄物检查
尿钙 | Calcium | Ca | 体液和排泄物检查
尿磷 | Phosphorus | P | 体液和排泄物检查
尿镁 | Magnesium | Mg | 体液和排泄物检查
尿铅 | Plumbum | Pb | 体液和排泄物检查
尿锌 | Zinc | Zn | 体液和排泄物检查
尿铜 | Copper | Cu | 体液和排泄物检查
凝血因子活性测定(因子Ⅷ∶C、Ⅸ∶C) | Copper |   | 临床血液检查
尿汞 | Hydrargyrum | Hg | 体液和排泄物检查
尿碘 | iodium | I | 体液和排泄物检查
尿砷 | iodium | As | 体液和排泄物检查
尿氟 | iodium | F | 体液和排泄物检查
尿硒 | Selenium | Se | 体液和排泄物检查
尿锰 | Manganese | Mn | 体液和排泄物检查
尿铬 | Chromium | Cr | 体液和排泄物检查
尿铍 | Chromium | Be | 体液和排泄物检查
尿镉 | Cadmium | Cd | 体液和排泄物检查
尿草酸盐 | Cadmium |   | 体液和排泄物检查
血小板体积分布宽度 | Platelet Distribution Width | P-D-W | 临床血液检查
尿亚硝酸盐 | Platelet Distribution Width | Nit | 体液和排泄物检查
尿隐血 | Urine Occult Blood Test | ULD | 体液和排泄物检查
尿卟胆原 | Urine Occult Blood Test | PBG | 体液和排泄物检查
尿卟啉 | Uroporphyrinogen | UP | 体液和排泄物检查
尿含铁血红黄素 | Urine Hemosiderin | Hd | 体液和排泄物检查
尿黑素 | Urine Hemosiderin | 尿黑色素；Mel | 体液和排泄物检查
尿β2-微球蛋白 | β2-Microprotein | β2-MG；β2-M | 体液和排泄物检查
尿α1-微球蛋白 | α1-Microglobulin | α1-MG | 体液和排泄物检查
尿液运铁蛋白 | Transferrin | Tf | 体液和排泄物检查
尿免疫球蛋白 | Assay Immunoglobulin | Ig | 体液和排泄物检查
血管性假血友病因子 | Von Willebrand Factor | VWF | 临床血液检查
尿TH糖蛋白 | Tamm-Harsefall | THP | 体液和排泄物检查
尿羟脯氨酸 | determination of hydroxyproline in the urine | Hyp | 体液和排泄物检查
尿苯丙酸试验 | henylpyraric acid in urine | PPA | 体液和排泄物检查
尿胱氨酸 | Cystine | 半胱氨酸；Cys | 体液和排泄物检查
尿瓜氨酸 | Cystine |   | 体液和排泄物检查
尿液细菌培养 | Cystine |   | 体液和排泄物检查
尿N＇-甲基烟酰胺 | Cystine | N＇-MN | 体液和排泄物检查
妊娠试验 | Cystine |   | 体液和排泄物检查
尿液浓缩稀释试验 | Mosenthal’s test | 谋森塔耳试验 | 体液和排泄物检查
尿溶菌酶 | Lysozyme | LZM | 体液和排泄物检查
血小板ATP释放试验 | ademosine triphosphate | ATP | 临床血液检查
尿维生素B2 | Viboflavin | 核黄素；Vit B2 | 体液和排泄物检查
尿维生素C | ascorbic acid | Vit C | 体液和排泄物检查
尿促卵泡成熟素 | Follicle Stimulating Hormone | 尿卵泡刺激素；FSH | 体液和排泄物检查
尿黄体生成素 | Luteinizing Hormone | LH | 体液和排泄物检查
尿醛固酮 | Aldosterone in Urine | UALD | 体液和排泄物检查
尿儿茶酚胺 | Catecholamine in Urine | CA | 体液和排泄物检查
尿苦杏仁酸 | Vanilly mandeliacid in Urine | 尿3-甲氧基-4-羟苦杏仁酸；VMA | 体液和排泄物检查
尿肾上腺素 | Adrenamine in plasma and urine | Ad | 体液和排泄物检查
尿5-羟吲哚乙酸 | Adrenamine in plasma and urine | 尿5-HIAA | 体液和排泄物检查
尿睾酮 | Testosterone Urine | 睾丸素 | 体液和排泄物检查
凝血酶时间 | Thrombin Time | TT；TCT | 临床血液检查
尿液雌酮 | Estrone in serum and urine | E1 | 体液和排泄物检查
尿液雌二醇 | Estradiol in serum and urine | E2 | 体液和排泄物检查
尿液雌三醇 | Estriol in serum and urine | E3 | 体液和排泄物检查
尿孕酮 | Progesterone in serum urine | 黄体酮；Pu | 体液和排泄物检查
尿多巴胺 | Dopamine inplasma and urine | DA | 体液和排泄物检查
尿γ-谷氨酰转移酶 | Gamma-Glutamyl Transferase，γ-GT | UGGT | 体液和排泄物检查
尿N-乙酰β-D氨基葡萄糖苷酶 | N-Acetyl-Glucosaminidase，NAG | UNAG | 体液和排泄物检查
尿β半乳糖苷酶 | β-Galactosidase | GAL | 体液和排泄物检查
尿丙氨酸氨基肽酶 | Alanine Aminopeptidase，AAP | UAAP | 体液和排泄物检查
尿亮氨酸氨基肽酶 | Leucine Aminopeptidase | ULAP | 体液和排泄物检查
纤维蛋白原 | Fibrinogen | Fbg | 临床血液检查
尿碱性磷酸酶 | Alklinephosphatase Urine，ALP | UALP | 体液和排泄物检查
尿谷草转移酶 | Aspartate Aminotransferase | 天冬氨酸氨基转移酶(AST)；UGOT | 体液和排泄物检查
尿胃蛋白酶 | Aspartate Aminotransferase |   | 体液和排泄物检查
尿胃蛋白酶原 | Aspartate Aminotransferase |   | 体液和排泄物检查
尿环磷酸腺苷 | Cyclic Guanosine Monophosphate | cAMP | 体液和排泄物检查
尿环磷酸鸟苷 | Cyclic Guanosine Monophosphate | cGMP | 体液和排泄物检查
尿游离皮质醇 | Cyclic Guanosine Monophosphate | UFC | 体液和排泄物检查
尿前列腺素 | Cyclic Guanosine Monophosphate | UPG | 体液和排泄物检查
尿6-酮-前列素F1a | Cyclic Guanosine Monophosphate |   | 体液和排泄物检查
尿血栓素B2 | thromboxane | TXB2 | 体液和排泄物检查
单核细胞数 | Monocyte | M | 临床血液检查
优球蛋白的溶解时间 | Euglobulin Lysis Time | ELT | 临床血液检查
尿对羟苯丙酮酸 | Euglobulin Lysis Time |   | 体液和排泄物检查
尿β-羟丁酸 | Euglobulin Lysis Time | β-HB | 体液和排泄物检查
尿谷氨酰胺 | Euglobulin Lysis Time |   | 体液和排泄物检查
尿亮氨酸 | Euglobulin Lysis Time |   | 体液和排泄物检查
尿维生素B6 | Euglobulin Lysis Time |   | 体液和排泄物检查
尿维生素B1 | Euglobulin Lysis Time | Vit B1 | 体液和排泄物检查
尿胆汁酸 | Euglobulin Lysis Time |   | 体液和排泄物检查
尿C肽 | Euglobulin Lysis Time | U-CP | 体液和排泄物检查
尿液去甲肾上腺素 | Euglobulin Lysis Time |   | 体液和排泄物检查
纤维蛋白降解产物 | fibrinogen degradation products | FDP | 临床血液检查
尿δ-氨基-γ-酮基戊酸 | fibrinogen degradation products | δ-ALA | 体液和排泄物检查
尿17-羟皮质类固醇 | fibrinogen degradation products | 17-OHCS | 体液和排泄物检查
尿去氢异雄酮 | dehydroepiandrosterone | 脱氢异雄酮；DHA | 体液和排泄物检查
尿铜蓝蛋白 | dehydroepiandrosterone | Cp | 体液和排泄物检查
尿妊娠胶乳凝集抑制试验 | dehydroepiandrosterone |   | 体液和排泄物检查
尿早早孕试验 | dehydroepiandrosterone |   | 体液和排泄物检查
尿纤维蛋白降解产物 | dehydroepiandrosterone | UFDP | 体液和排泄物检查
尿沉渣细胞学 | dehydroepiandrosterone |   | 体液和排泄物检查
尿沉渣管型 | dehydroepiandrosterone |   | 体液和排泄物检查
血块收缩时间 | Clot Retration Time | CRT | 临床血液检查
尿沉渣结晶 | Clot Retration Time |   | 体液和排泄物检查
尿比重3h试验 | Clot Retration Time |   | 体液和排泄物检查
尿浓缩试验 | Clot Retration Time |   | 体液和排泄物检查
尿素清除率(UCL) | Clot Retration Time | UCL | 体液和排泄物检查
内生肌酐清除率 | exdogenous creatinie clearance test | Ccr | 体液和排泄物检查
酚红排泄试验 | henolsulfonphthalein | PSP | 体液和排泄物检查
菊粉清除率 | clearance inulin test | 菊粉清除试验；Cin | 体液和排泄物检查
肾小管氨马尿酸最大排泄量试验 | tubular maximal PAH excretory | TmPAH | 体液和排泄物检查
对氨马尿酸清除率 | PAH clearance test | CPAH | 体液和排泄物检查
简易凝血酶生成试验 | Simplified Thrombo-plastin Generation Test | STGT | 临床血液检查
肾小球滤过分数 | filtration fraction | GFF | 体液和排泄物检查
肾血浆流量 | renal plasma flow | RPF | 体液和排泄物检查
肾血流量 | renal plasma flow | RBF | 体液和排泄物检查
粪量 | renal plasma flow |   | 体液和排泄物检查
粪形状和硬度 | renal plasma flow |   | 体液和排泄物检查
粪颜色 | renal plasma flow |   | 体液和排泄物检查
粪气味 | renal plasma flow |   | 体液和排泄物检查
粪食物残渣 | renal plasma flow |   | 体液和排泄物检查
粪中结晶 | renal plasma flow |   | 体液和排泄物检查
乙醇凝胶试验 | Ethanol Gelation Test | EGT | 临床血液检查
粪中细胞 | Ethanol Gelation Test |   | 体液和排泄物检查
粪中脂肪 | Ethanol Gelation Test |   | 体液和排泄物检查
粪脂肪定量 | Quantity of Fat |   | 体液和排泄物检查
粪寄生虫卵 | Quantity of Fat |   | 体液和排泄物检查
粪隐血试验 | Occult Blood Test | OB | 体液和排泄物检查
粪胆红素 | Occult Blood Test |   | 体液和排泄物检查
粪胆素 | Occult Blood Test |   | 体液和排泄物检查
粪胆原 | Occult Blood Test |   | 体液和排泄物检查
粪糜蛋白酶 | Occult Blood Test |   | 体液和排泄物检查
粪卟啉 | Occult Blood Test |   | 体液和排泄物检查
纤溶酶原 | Plasminogen | PIG | 临床血液检查
粪特里布累 | Plasminogen |   | 体液和排泄物检查
粪钙 | Plasminogen | Ca | 体液和排泄物检查
粪钾 | otassium | K | 体液和排泄物检查
粪氯 | Chloride | Cl | 体液和排泄物检查
粪酸碱度 | acidity-PH | PH | 体液和排泄物检查
粪便菌群失调 | acidity-PH |   | 体液和排泄物检查
粪细菌培养 | acidity-PH |   | 体液和排泄物检查
粪结核杆菌检查 | acidity-PH |   | 体液和排泄物检查
脑脊液压力 | acidity-PH | CSF | 体液和排泄物检查
脑脊液颜色 | acidity-PH |   | 体液和排泄物检查
D-二聚体 | D-dimer | D-Di | 临床血液检查
脑脊液透明度 | D-dimer |   | 体液和排泄物检查
脑脊液比重 | D-dimer |   | 体液和排泄物检查
脑脊液蛋白定性 | D-dimer |   | 体液和排泄物检查
脑脊液蛋白定量 | D-dimer |   | 体液和排泄物检查
脑脊液蛋白电泳 | Protein Electrophoresis of CSF |   | 体液和排泄物检查
脑脊液免疫球蛋白 | Protein Electrophoresis of CSF | Ig | 体液和排泄物检查
