中医百科

Asian toddalia root (bark) - 飞龙掌血
six climatic factors - 六气
five zang viscera - 五脏
visceral manifestations - 脏象
zang-fu viscera - 脏腑
seven emotions - 七情
	traditional Chinese medicine - 中医学
Chinese materia medica - 中药学
integration of traditional and western medicine - 中西医结合
traditional Chinese medicine and pharmacology - 中医药学
illness of child viscera affecting the mother one - 子病及母
illness of mother viscera affecting the child one - 母病及子
wood generating fire - 木生火
fire generating earth - 火生土
earth generating metal - 土生金
metal generating water - 金生水
water generating wood - 水生木
mutual restriction of five phases - 五行相克
over-restriction of five phases - 五行相乘
doctrine of five evolutive phases and six climatic factors - 运气学说
five evolutive phases - 五运
vitamins               - 维生素
blurred vision              - 视物-+-+
blurred vision              - 视物模糊
blurred vision              - 视物模糊不清
bone fracture              - 骨折
bloodletting               - 出血
boar               - 豭
bloodletting               - 放血
board               - 板
bone pain              - 骨痛
boat               - 舟
boat               - 舟楫
bone               - 骸
boat               - 船
bobbing               - 厥厥
blood stasis              - 血瘀
blood pressure              - 血压
blood vessels              - 血管
blood sugar              - 血糖
bloody stool              - 大便下血
bloody stool              - 大便出血
bloody stool              - 血便
bud               - 苞
buttock               - 臀
Buddha               - 佛
buttocks               - 屁
calomel               - 汞粉
calomel               - 轻粉
calomel               - 银粉
button               - 钮
borneol               - 冰片脑
borneol               - 梅冰
borneol               - 梅片
breast feeding              - 授乳
borneol               - 梅花片脑
borneol               - 梅花脑
borneol               - 梅花脑子
borneol               - 片脑
breast               - 臆
borneol               - 瑞龙脑
borneol               - 脑子
bronchi               - 支气管
bronchial asthma              - 支气管炎哮喘
break               - 折
bronchiectasis               - 支气管扩张
break               - 断
bronchioles               - 细支气管
brimming               - 羕
bronchitis               - 支气管炎
brine               - 盐水
bronchopneumonia               - 支气管肺炎
bronchospasm               - 支气管痉挛
bristle brush              - 毛刷
bronze               - 铜
brittle               - 脆
broad bean              - 仙豆
broad bean              - 佛豆
broad bean              - 南豆
broad               - 博
broomrape               - 列当
brown sugar              - 红糖
brown sugar              - 赤沙糖
bosom               - 怀
bosom               - 膺
bosom               - 膺中
bosom               - 臆
borneol               - 龙脑
breasts               - 乳房
breathing               - 呼吸
broad               - 广
brachial artery              - 肱动脉
broad bean              - 秬豆
aphasia              - 失语
acupuncture points             - 腧穴
soreness              - 酸
manipulation              - 推拿
acid regurgitation             - 吞酸
inspection              - 望诊
gastric ulcer             - 胃溃疡
stomach ache             - 胃痛
positive elements             - 阳
dysphagia              - 噎嗝
intrathecal injection             - 鞘内注射
eliminating pathogens             - 祛邪
common cold             - 伤风
inquiry              - 问诊
regurgitation              - 反胃
atelectasis              - 肺不张
block therapy             - 封闭疗法
intra-articular injection             - 关节内注射
full pulse             - 洪脉
spermatorrhea              - 滑精
amnesia              - 健忘
tenosynovitis              - 腱鞘炎
numbness              - 麻
numbness              - 麻木
migraine              - 偏头痛
cupping therapy             - 拔火罐
diagnosis and treatment            - 辨证施治
pathogenesis              - 病机
asthma              - 喘症
cholelithiasis              - 胆石症
night sweat             - 盗汗
electro-acupuncture              - 电针
body fluid             - 津液
trismus              - 口噤
contrast               - 对待
contrasting               - 对待法
contributory factor              - 成因
control               - 任
coronary               - 冠
control               - 控
control malaria              - 治疟
coronary bypass              - 冠状动脉旁路手术
contact dermatitis              - 接触性皮炎
coral               - 珊
container               - 筒
coral               - 珊瑚
container               - 罐
Controlling High              - 制高
corbicula               - 蚬
contend               - 相搏
decoct               - 煎汤
decoct               - 煎熬
depuration               - 清肃
deranged               - 乱
decoction               - 汤液
decoction               - 煎药法
delayed               - 迟
delicate               - 娇
decoctum               - 汤
dermatitis               - 皮肤炎
decoctum               - 煮
dermatosis               - 皮病
decoctum               - 熬
dawn               - 旦
decomposition               - 腐熟
destroy               - 毁
dianella               - 山猫儿
dianthus               - 洛阳花
dendrobium               - 石蓫
daily dosage              - 一日量
dancing               - 娑
dandelion               - 公英
dandelion               - 凫公英
dandelion               - 蒲公英
dampness               - 湿
dandelion               - 黄花地丁
dandruff               - 头皮屑
dangerous               - 危
Daoism               - 道家
Daoist               - 道家
dark eyes              - 两目暗黑
deafness               - 耳聩
dark sleeper              - 土附
dark               - 晦
dark               - 晦暗
dark               - 暗
debilitation               - 衰微
cynomorium               - 锁严子
cynomorium               - 锁阳
cyperus               - 莎草
cuticle               - 表皮
cysticercosis               - 囊虫病
damp-heat               - 湿热
cystitis               - 膀胱炎
cystolithiasis               - 膀胱石病
cytoplasm               - 细胞质
dace               - 鲮
depression               - 罅陷
debregeasia               - 冬里麻
depression               - 郁滞
laryngitis               - 喉炎
lean on              - 靠
land               - 陆
leap               - 跳
Leap               - 跳跃
late afternoon              - 晡
leather               - 革
late periods              - 经迟
laparotomy               - 剖腹术
late summer              - 长夏
leech               - 水蛭
leech               - 水麻贴
Large Pile              - 大敦
leech               - 沙塔干
leech               - 红蛭
laver               - 子菜
laver               - 甘紫菜
lake               - 湖
laver               - 索菜
lame               - 尪
laver               - 紫菜
lament               - 哀
lamp               - 灯
scutellaria               - 芩
scorching hot              - 灼热
sea perch              - 鲈鱼
Seabed               - 海底
sea cucumber              - 刺参
seal               - 肭
seal               - 腽
scales               - 鳞屑
scallion               - 和事草
scallion               - 四季葱
scallion               - 火葱
scallion               - 芤
sedan chair              - 轿
sea               - 海
sea cucumber              - 海参
see               - 看
see               - 视
seed               - 仁
seed               - 子
sea urchin              - 海胆
seedling               - 秧
seam               - 分
seek               - 求
serum               - 血清
seethe               - 沸
searching               - 寻
sea cucumber              - 海鼠
inhibited               - 不畅
infection               - 传染
infection               - 感染
inferior               - 卑
insomnia               - 不得眠
insomnia               - 不眠
infertility               - 不妊
insomnia               - 不睡
infertility               - 不孕
infertility               - 女性不孕症
insomnia               - 失眠
Infertility               - 绝孕
insomnia               - 无眠
inspect               - 审
inspect               - 察
interlocking               - 错
intermediary               - 间
inhibition               - 不利
inflate               - 膨
indistinct               - 渺
inflation               - 膨胀
indeed               - 审
indocalamus               - 箬
indented               - 凹
influenza               - 流行性感冒
index finger              - 手食指
index finger              - 食指
indulge               - 纵
infuse               - 泡
ingenuity               - 伎
ingenuity               - 巧
ingredient               - 组成
infant               - 婴儿
Inner Thigh              - 股内
infant               - 小儿
infantile               - 小儿
insanity               - 疯
inguinal region              - 阴股
inhale               - 吸
insect bites              - 虫咬
inhale               - 吸入
impotence               - 阴痿
idol               - 偶
impress               - 印
if               - 若
improper               - 失宜
ilex               - 苦丁茶
iliopsoas muscle              - 髂腰肌
ilium               - 髂
indication               - 主治
horn               - 角
hobble               - 蹶
house               - 屋
hog               - 豨
house               - 府
horning               - 角法
hemiplegia               - 偏废不仁
hickory               - 山核桃
hemiplegia               - 偏瘫
hemiplegia               - 半身不遂
hold               - 持
hemiplegia               - 半身不随
hemiptelea               - 刺榆
hole               - 孔
hole               - 穴道
hemophilia               - 血友病
holism               - 整体观念
high               - 高
hostility               - 忤
honey               - 蜂糖
herb               - 草药
hinge               - 机关
honey               - 蜂蜜
hip               - 胯
hip bone              - 胯骨
honey               - 蜜
hot tears              - 泪热
honey               - 蜜糖
hereby               - 兹
honey               - 食蜜
hip joint              - 髀厌
hip               - 髁
hot compress              - 热敷
heart and vessels             - 心脉
heavenly stem              - 天干
heart attack              - 心脏麻痹
heavy               - 沉
heavy               - 沉重
hemoptysis               - 咯血
henbane               - 莨
hemorrhage               - 出血
high fever              - 高热
high bone              - 高骨
honest               - 敦
hemorrhoid               - 痔疮
hemorrhoid               - 肛门生痔
hill               - 丘
heavy eye              - 目瞑
heavy eye              - 瞑
hematite               - 须丸
prolong               - 曼
prosperous               - 昌
prolong               - 迁
prolonged               - 日久
prostatitis               - 前列腺炎
prolonged               - 迁
protect against              - 防
protein               - 蛋白
proteins               - 蛋白质
pure               - 纯
proteinuria               - 蛋白尿
prick               - 速刺
prickle               - 芒
primrose               - 樱草根
principle               - 则
principle               - 原则
principle of treatment             - 治则
principle of treatment             - 治疗原则
principle of treatment             - 治病法则
principle               - 纲领
prinsepia               - 蕤
process               - 制
processed               - 熟
prominence               - 隆凸
prominent               - 着
promote contraction              - 收敛
pulse               - 脉
proton               - 质子
protrude               - 凸
Protuberance               - 兑中
pulse               - 脉象
prescription               - 处方
poria               - 伏灵
poria               - 伏苓
prescription               - 处方笺
poria               - 松木薯
prescription               - 药方
poria               - 松腴
poria               - 松苓
poria               - 松薯
poria               - 茯兔
present               - 今
poria               - 茯灵
present               - 现
poria               - 茯苓
presenting signs              - 见症
practice               - 习
practitioner               - 医工
press               - 压
practitioner               - 工
gecko               - 蚧蟹
ginseng fruit              - 人参子
generalized               - 遍身
ginseng               - 人衔
galinsoga               - 辣子草
galium               - 八仙草
galium               - 猪殃殃
galium               - 血见愁
gecko               - 蛤
gecko               - 蛤蚧
gentle formula              - 缓方
gem               - 珍
general diseases              - 一般疾病
geomancy               - 风水
general pattern              - 全身证候
gerbera               - 毛大丁草
gingivitis               - 齿龈炎
general               - 概
get worse              - 加剧
generalized               - 全身
garlic               - 蒜
garlic leaf              - 青蒜
gallbladder               - 胆囊
gastroenteritis               - 胃肠炎
gastrointestinal               - 胃肠
frozen               - 冻
gastrectomy               - 胃切除术
gastritis               - 胃炎
fume               - 熏（熏）
gangrene               - 坏疽
fumigate               - 烟熏
function               - 功
function               - 功能
furl               - 翕
g               - 公克
gastrocnemius muscle              - 腓肠肌
frozen shoulder              - 肩凝
gardenia               - 栀
gallbladder disease              - 胆病
frigidity               - 性冷
fruit               - 实
gardenia flower              - 栀子花
fruit               - 果
fruit section              - 果部
frustration               - 求谋不遂
frog tadpole              - 蝌蚪
frog               - 青蛙
gargle               - 漱喉
from               - 从
from               - 由
breakdown               - 失权
breakdown               - 无权
botulism               - 肠菌毒病
breakfast               - 早餐
borax               - 大朋砂
breakfast               - 早饭
borax               - 月石
borax               - 盆砂
borax               - 硼
bountiful               - 丰
borax               - 蓬砂
breast               - 乳房
borax               - 西月石
borax               - 鹏砂
border               - 际
bow               - 弓
borderland               - 蕃
breast milk              - 乳汁
bore               - 穿
bore               - 钻
borneol               - 冰片
blue               - 绀
blue               - 蓝
bolt               - 楗
blood block              - 血闭
bluebeard               - 兰香草
bluebeard               - 山薄荷
Bone Growth              - 成骨
blurred vision              - 目糊
blurred vision              - 目视-+
blurred vision              - 目视-+-+
blurred vision              - 目视-+-+无所见
blurred vision              - 目视模糊
blurred vision              - 视物-+-+
blurred vision              - 视物模糊
blurred vision              - 视物模糊不清
bone fracture              - 骨折
bloodletting               - 出血
boar               - 豭
bloodletting               - 放血
board               - 板
bone pain              - 骨痛
boat               - 舟
boat               - 舟楫
bone               - 骸
boat               - 船
bobbing               - 厥厥
blood stasis              - 血瘀
blood pressure              - 血压
blood vessels              - 血管
mobile               - 善走
mobile               - 走而不守
mouse               - 鼷
moderate               - 缓和
moustache               - 须
modern medicine              - 现代医学
mulberry               - 乌椹
mulberry               - 文武实
mouth               - 兑
mulberry               - 桑
moist               - 濡
mulberry               - 桑仁
mouth sore              - 口中生疮
mulberry leaf              - 桑叶
morning               - 上午
mouth sore              - 口疮
morning sickness              - 恶阻
mouth sores              - 口破
morning               - 早
mulberry               - 桑实
morning               - 早上
mouth               - 嘴
mulberry               - 桑果
morning               - 朝
mouth               - 颌
mulberry               - 桑枣
mole               - 痣
mole               - 胞
mouthwash               - 含漱
mouthwash               - 漱口
mouthwash               - 漱涤
mulberry               - 桑椹
mortar               - 捣筒
mulberry               - 桑椹子
mortar               - 臼
move               - 移
mollissima               - 寻骨风
mosla               - 香戎
mollugo               - 地麻黄
mosla               - 香茸
move water              - 行水
mosla               - 香葇
mosla               - 香薷
move               - 迁
momordica               - 拉汗果
mosla               - 香薷草
move               - 鼓运
mulberry               - 桑粒
mostly               - 多
moth               - 灯蛾
board               - 板
bone pain              - 骨痛
boat               - 舟
boat               - 舟楫
bone               - 骸
boat               - 船
bobbing               - 厥厥
blood stasis              - 血瘀
blood pressure              - 血压
blood vessels              - 血管
blood sugar              - 血糖
bloody stool              - 大便下血
bloody stool              - 大便出血
bloody stool              - 血便
blood vessel              - 血脉
boil               - 沸
boil               - 煨水
boil               - 熬
blow               - 吹气
boschniakia               - 草苁蓉
blind               - 瞎
blindness               - 视觉缺失
bladder disease              - 膀胱病
blink               - 眨
blink               - 瞬
blinking               - 目眨
blistering               - 发泡
blistering               - 提泡
blistering               - 起泡
bloating               - 饱胀
block               - 拦
blood               - 血液
blood circulation              - 血液循环
blood thirst              - 血渴
blood heat              - 血热
blood loss              - 出血
bleed               - 放血
bleeding               - 出血
bleeding wound              - 创伤出血
bleeding               - 流血
black eye              - 眼胞瘀痛
black tea              - 红茶
blemish               - 疵
blepharoptosis               - 睑下垂
blood loss              - 失血
bicuspids               - 二尖齿
black soy              - 豆黄
bladder               - 胞
black scraper              - 马面单棘鲀
bladder               - 膀胱
soybean               - 毛豆
skull               - 颅
Skull               - 颅囟
snail               - 蜗
smear               - 涂
skull               - 颅盖
smell               - 嗅
snail               - 蜗牛
slack               - 弛
slack               - 弛纵
snail shell              - 蜗牛壳
slow               - 徐
slacken               - 弛纵
slow               - 慢
slackening               - 瘲
slaked lime              - 熟石灰
smoke               - 烟
slave               - 奴
snake bite              - 毒蛇咬伤
sleep               - 寝
soothe               - 塌
soothe the liver             - 舒肝
soar               - 腾
sober               - 醒酒
south               - 南
skin               - 皮肤
six channels              - 六经
smolder               - 蕴
sleep               - 眠
sleep               - 睡眠
snake               - 蛇
slug               - 蛞蝓
sluggish               - 懈
sleeping pills              - 安眠剂
snake bite              - 蛇伤
sleeplessness               - 不寐
sleeplessness               - 不眠
sluggish               - 謇
sleeplessness               - 不睡
sleeplessness               - 无眠
sluggish               - 蹇
sleeve               - 袖
sluice               - 渎
snake venom              - 蛇毒
shy               - 羞
side               - 侧
sink               - 没
similar               - 类
simple               - 单
sinusitis               - 鼻窦炎
pinch               - 捏
pneumonia               - 肺炎
pinch               - 掐
plain               - 素
picture               - 图
pneumothorax               - 气胸
picture               - 画
pierce               - 穿
plait               - 编
piercing eyes              - 眼目窜视
plait               - 辫
pig               - 猪
plane               - 刨
polyporus               - 豕零
polyporus               - 豭猪屎
polyporus               - 野猪屎
poria               - 茯菟
pork               - 猪
platform               - 台
polyposis               - 息肉病
platter               - 盘
pork               - 猪肉
portal vein              - 门静脉
position               - 位
position               - 部
precipitation               - 通下
possibly               - 或
pomelo               - 柚
possibly               - 许
post-               - 后
pomelo               - 柚子
pile up              - 迭
pistachio               - 无名子
plum               - 嘉庆子
pistachio               - 阿月浑子
plum               - 李
point               - 点
plant               - 植
point               - 穴位
point               - 穴道
plantago               - 当道
plantago               - 牛甜菜
pine               - 松
plantago               - 牛舄
plantago               - 田波菜
pigeon               - 鸽
pine nut              - 松子
plantago               - 胜舄菜
pointed               - 尖
pine nut              - 松子仁
Central Hole              - 中空
chain               - 链
chalk               - 白垩
chalky               - 如积粉
chamber               - 室
chamomile               - 母菊
ceramic               - 瓷
change               - 换
cerebellum               - 小脑
cerebral palsy              - 大脑性瘫痪
cauldron               - 釜
cauliflower               - 椰菜花
cauliflower               - 花椰菜
cauliflower               - 花茎甘蓝
cauliflower               - 花菜
cauliflower               - 青花菜\Q{??}
cell membrane              - 细胞膜
cause of disease             - 发病原因
[body] hair              - 毛
cause               - 成因
celosia               - 青箱
celosia               - 青葙
throat               - 颃
cementum               - 齿垩质
cauterization               - 烙法
centipeda               - 鹅不食草
centaurea               - 苦蒿
centipede               - 千足
centaury               - 埃蕾
cautions               - 注意事项
centipede               - 蜈
centella               - 崩大碗
centipede               - 蜈蚣
centella               - 积雪草
centella               - 落得打
abalone shell              - 九孔决明
cave               - 洞
centella               - 雷公根
cavity               - 腔
abalone shell              - 石决明
celery               - 洋芹菜
abalone               - 鲍
cerebral hemorrhage              - 脑出血
catch cold              - 受凉
catch               - 着
glechoma               - 连钱草
catch cold              - 着凉
catfish               - 土杀
catfish               - 塘虱鱼
catfish               - 胡子鲶
Warring States              - 战国
wart               - 枯筋箭
wart               - 疣赘
vitreous hemorrhage              - 玻璃体积血
wart               - 瘊
wart               - 瘊子
vivus               - 生
wart               - 皮肤疣
voice               - 嗓
water accumulation              - 积水
wart               - 赘疣
water spinach              - 空心菜
wart               - 饭蕊
valley               - 谷
urine               - 前溲
urine               - 小水
urine               - 小溲
valuable               - 贵
urine               - 尿液
urine               - 水泉
urine               - 溲
vertex               - 颠顶
Urine               - 溺水
urine odor              - 臊味
vanquished               - 败坏
variant               - 加减
vesicle               - 水-+
vacuity               - 虚弱
variation               - 加减
vesicle               - 水泡
variation               - 加减法
urticaria               - 荨麻疹
variation               - 化裁
vessel               - 脉
varied               - 化裁
variola               - 天花
veins               - 筋脉
uterus               - 女子胞
uterus               - 子宫
uterus               - 胞
uterus               - 胞宫
uterus               - 阴胞
vacuous               - 虚弱
uvea               - 葡萄膜
urinary calculus              - 尿石
uveitis               - 葡萄膜炎
venison               - 鹿肉
Urinary Bladder              - 尿胞
uvula               - 帝丁
uvula               - 帝钟
gum               - 牙龂
gum               - 牙龈
gum               - 齿龈
gum               - 龂
grip               - 绞
gums               - 齿龈
grit               - 砂
gurgle               - 沥
groaning               - 呻
groaning               - 呻吟
hair loss              - 毛发脱落
groin               - 阴股
gush               - 涌
granulated sugar              - 沙糖
gr               - 公克
grab               - 抓
grabbing               - 搦
great thirst              - 口大渴
grid               - 格
great               - 大
grief               - 哀
guard               - 守
guava               - 番石榴
great adductor muscle             - 大收肌
grind with water             - 水磨
gueldenstaedtia               - 甜地丁
gueldenstaedtia               - 米口带地丁
gueldenstaedtia               - 萝卜地丁
greedy               - 贪
great water              - 大水
Guest House              - 筑宾
grind               - 研碎
grind               - 研磨
grape               - 山葫芦
gold leaf              - 金箔
gold leaf              - 飞金
grape               - 葡萄
gold               - 黄金
goose               - 鹅
great               - 巨
grasp               - 拿
grasp               - 捉
green amaranth              - 绿苋
grasping               - 拿法
green               - 翠
great               - 祁
gorilla               - 猩
grate               - 剉
grate               - 锉
gourd               - 瓜
vegetarian               - 素
vehicle               - 车
veiled               - 冒
urinary incontinence              - 小便失禁
vein               - 青筋
vein               - 静脉
upper gastrointestinal bleeding             - 上消化道出血
umbilicaria               - 石耳
unable to              - 不得
upper limb              - 上肢
uncle               - 伯
unstable               - 不稳定
upper arm              - 上膊
unclear vision              - 视物不清
unconsciousness               - 不省人事
unconsciousness               - 人事不省
Upper Gate              - 上门
unconstrained               - 舒
unyielding               - 刚
uncontrollable               - 不能自主
upper extremity              - 手
unicorn               - 麒
unicorn               - 麟
twice               - 再
ulceration               - 溃烂
uplift               - 升举
twig               - 条
unilateral               - 偏
ulcerative colitis              - 溃疡性结肠炎
twig               - 枝
ulcers               - 溃疡病
twilight               - 昏
ulna               - 尺骨
ulna               - 正骨
ulnar artery              - 尺动脉
twirl               - 转
Upper Gate              - 上关
twirling               - 捻转
upper body              - 上半身
uninhibited               - 快
twist               - 扭
uninhibited               - 畅
two               - 两
unite               - 联
umbilical cord              - 脐带
universal               - 普
unlike               - 异
twelve               - 十二
tympanic membrane              - 鼓膜
tympanoplasty               - 鼓膜成形术
vomiting and diarrhea             - 吐泻
vomiting               - 呕吐
waste               - 费
water caltrop starch             - 菱粉
watercress               - 凉菜
watercress               - 水蔊菜
watercress               - 西洋菜
watercress               - 豆瓣菜
Water Divide              - 水分
ward               - 病房
vertebral arch              - 椎骨弓
urinate               - 排尿
vertebral column              - 脊柱
urination               - 小便
vertex               - 头顶
urine               - 下泉
vetch               - 大巢菜
ustus               - 焦
usual               - 素
vasodilator               - 血管舒张药
vexation               - 心烦
vast               - 阔
vexation               - 烦心
Water Gate              - 水门
warming               - 温法
vitiligo               - 白斑病
water flow              - 瀼
vitiligo               - 白癜风
Warring States              - 战国
wart               - 枯筋箭
wart               - 疣赘
vitreous hemorrhage              - 玻璃体积血
wart               - 瘊
wart               - 瘊子
vivus               - 生
wart               - 皮肤疣
voice               - 嗓
water accumulation              - 积水
wart               - 赘疣
water spinach              - 空心菜
wart               - 饭蕊
valley               - 谷
urine               - 前溲
urine               - 小水
urine               - 小溲
valuable               - 贵
urine               - 尿液
urine               - 水泉
urine               - 溲
vertex               - 颠顶
sign               - 征象
sign               - 证候
shallot               - 蒜葱
shallot               - 蕗荞葱
shallow               - 浅
second               - 再
second toe              - 大趾次趾
shame               - 耻
second               - 次
second toe              - 次趾
second               - 第二
second toe              - 足次趾
secondary               - 副
secondary               - 次
senile dementia              - 老年痴呆症
secret formula              - 禁方
secretion               - 分泌
secretion               - 分泌物
sensitive plant              - 含羞草
shark               - 鲛
section               - 段
section               - 节
sever               - 割
sensitive               - 敏
section               - 部
several               - 数
sexual intercourse              - 同房
sesame oil              - 麻油
selenite               - 太乙玄精石
selenite               - 太阴元精石
selenite               - 太阴玄精
selenite               - 太阴玄精石
setting sun              - 夕
selenite               - 玄精石
selenite               - 阴精石
self               - 己
seasonal               - 时行
self-sown               - 稆
sexual function              - 生殖机能
sexual desire              - 色欲
sexual intercourse              - 行房
seasonal influenza              - 时行感冒
sell               - 卖
shake               - 振
sell               - 沽
shake               - 摇
semen               - 精液
shake               - 震
shallot               - 冬葱
shallot               - 冻葱
fish               - 鱼
fire heat              - 火热
fig               - 无花果
Five Dynasties              - 五代
five seasons              - 五时
fire needle              - 火针
fixator               - 固定肌
finished               - 了
fir               - 杉
fern               - 蕨
field cricket              - 大头狗
fishing line              - 纶
fissure               - 裂伤
field               - 田
fist               - 拳
fierce               - 武
fistula               - 漏疮
fierce               - 猛
fine               - 毫
fine needle              - 毫针
fine jade              - 琼
fever               - 发烧
firewood               - 柴
fever               - 发热
firewood               - 薪
fine powder              - 细粉
fiber               - 纤维
fenugreek [seed]              - 胡芦巴
fibre               - 纤
fibrillation               - 纤维颤动
fibula               - 劳堂骨
ferment               - 酵
fibula               - 腓骨
first               - 先
fibula               - 辅骨
finger               - 手指
finger               - 指
ficus               - 榕
first               - 第一
fiery               - 烈
diarrhea               - 泻肚
dew               - 露水
diarrhea               - 泻肚子
difficult               - 难
difficult question              - 难
diarrhea               - 腹泄
diarrhea               - 腹泻
depression               - 宛
depression               - 宛宛
depression               - 罅
night               - 暮
ocean               - 洋
north               - 北
ninth               - 第九
nipple               - 乳头
niter               - 消石
niter               - 火消
Northern Dynasties              - 北朝
niter               - 火硝
niter               - 焰消
niter               - 焰硝
niter               - 硝石
niter               - 银硝
nucleolus               - 核仁
number               - 号
noble               - 贵
number of packets             - 帖数
Nocturia               - 夜尿
number               - 数
nose               - 明堂
numbness               - 不仁
thrombophlebitis               - 血栓性静脉炎
thrombosis               - 血栓
throughout               - 彻
three               - 参
throw               - 丢
throw               - 投
thrush               - 鹅口疮
thud               - 憺
thumb               - 大指
thumb               - 手大指
thumb               - 拇
thumb               - 母指
thump               - 挫
thumping               - 振法
toad               - 蟾
thirst               - 口渴
therefore               - 故
thirst               - 渴
Three Kingdoms              - 三国
this               - 兹
this               - 是
three corpses              - 三尸
thoracic               - 胸
thoracic vertebrae              - 胸椎骨
thoracic cavity              - 胸腔
throat               - 咙
throat               - 咽
throat               - 咽喉
tight               - 秘
varied               - 化裁
variola               - 天花
veins               - 筋脉
uterus               - 女子胞
uterus               - 子宫
eyebrow               - 眉
Eyebrow               - 眉头
feces               - 粪
faint               - 晕倒
faint               - 晕厥
far-reaching               - 羕
feeble               - 无力
farsightedness               - 能远怯近
feel the pulse             - 切脉
feel               - 扪
feel               - 捻
feel               - 摸
female               - 女
female infertility              - 女子绝子
female genitals              - 女性生殖器
female infertility              - 妇人绝子
female               - 牝
femoral artery              - 股动脉
femur               - 大楗骨
femur               - 大腿骨
femur               - 髀骨
fence               - 篱
fennel [fruit]              - 土茴香
fight               - 抗
fight               - 斗
fennel               - 茴
filariasis               - 丝虫病
file               - 剉
file               - 锉
firefly               - 萤
firefly               - 萤火
fetus               - 胎儿
filial piety              - 孝
filiform needle              - 毫针
final stage              - 后期
fear               - 怕
extinguish               - 灭
fear of water             - 恐水
fall               - 下陷
fear               - 惕
extraordinary               - 奇
fall               - 垂
fear               - 畏
fall               - 落
fear of people             - 畏人
outcome               - 转归
Outer Life              - 外命
originally               - 本
red tongue              - 红舌
recurrent               - 反复发作
recurrent aphthae              - 复发性口疮
red nose              - 红鼻子
red sage              - 五色梅
red sage root             - 五色梅根
red tongue              - 舌质红
reach               - 及
reflect               - 候
reflection               - 意
tamarind               - 酸角
tamarisk               - 柽
taro               - 芋
swertia               - 獐牙菜
swertia               - 青叶丹
tabanus               - 牛苍蝇
swertia               - 青叶胆
tabanus               - 牛虻
tabanus               - 牛蚊子
tabanus               - 瞎虻虫
tangerine               - 橘
TB               - 三焦
worms               - 诸虫
worrying               - 弄
sweet pepper              - 青椒
sweet wormwood              - 青蒿
swill               - 飧
talcum               - 共石
tabanus               - 瞎蚂蜂
tabanus               - 虻
talcum               - 夕冷
tabanus               - 虻虫
talcum               - 夜石
tabanus               - 蜚虻
swimming crab              - 蝤蛑
swine               - 豕
taro [root]              - 蹲鸱
talcum               - 画石
tachycardia               - 心搏快速
talcum               - 留石
tachycardia               - 心搏过速
talcum               - 番石
taciturn               - 沉默寡言
talcum               - 硬滑石
tarsal bones              - 跗骨
swollen throat              - 嗌肿
talcum               - 脆石
smoke               - 烟
slave               - 奴
snake bite              - 毒蛇咬伤
sleep               - 寝
soothe               - 塌
soothe the liver             - 舒肝
soar               - 腾
sober               - 醒酒
south               - 南
skin               - 皮肤
six channels              - 六经
smolder               - 蕴
sleep               - 眠
sleep               - 睡眠
snake               - 蛇
slug               - 蛞蝓
sluggish               - 懈
sleeping pills              - 安眠剂
snake bite              - 蛇伤
sleeplessness               - 不寐
sleeplessness               - 不眠
sluggish               - 謇
sleeplessness               - 不睡
sleeplessness               - 无眠
sluggish               - 蹇
sleeve               - 袖
sluice               - 渎
snake venom              - 蛇毒
shy               - 羞
side               - 侧
sink               - 没
similar               - 类
simple               - 单
sinusitis               - 鼻窦炎
skin               - 肤
skin               - 胕
slop               - 溏
six               - 陆
skip               - 越
skirt               - 裙
smooth delivery              - 顺产
smallpox               - 天花
skull               - 头颅骨
shoulder blade              - 肩甲
silkworm               - 蚕虫
shoulder joint              - 肩解
shoulder blade              - 胛
slice               - 切
slice               - 切片
sixth               - 第六
suppress               - 杀
superior vena cava             - 上腔静脉
superior               - 尚
superior mesenteric vein             - 肠系膜上静脉
suppuration               - 化脓
supinator               - 旋后肌
suppurative otitis media             - 化脓性中耳炎
swallow               - 下
supine               - 仰
swallow               - 咽
supine               - 仰卧
swallow               - 燕
supine               - 偃
supper               - 飧
supplementation               - 补养
surging               - 洪
summer               - 夏
sunflower seed              - 向日葵子
sunflower               - 向日葵花
sunken eyes              - 目下陷
sunken eyes              - 目窠内陷
surround               - 环
supple               - 茹
subservient               - 从
substance               - 质
substantial               - 有形
sudden               - 霍
suddenly               - 乍
successive               - 陆
suddenly               - 突
suddenly               - 顿
suck               - 吮
suffocation               - 憋气
sugar cane              - 甘蔗
suckle               - 吮
sugar cane juice             - 甘蔗汁
suckle               - 吮乳
suckle               - 哺
sugar               - 糖
sugar syrup              - 糖浆
suction cup              - 抽气罐
sugars               - 糖类
sulfur               - 石硫黄
sulfur               - 硫
susceptibility to              - 易受
sudden death              - 人卒暴死
sudden collapse              - 僵仆
subclavian artery              - 锁骨下动脉
sudden               - 卒
storax               - 帝膏
spray               - 喷
squint               - 偏视
squint               - 斜视
squint               - 目偏视
spread out              - 扩
squint               - 目珠偏斜
spread to              - 波及
squirrel               - 松鼠
spread               - 铺
stain               - 染
stalactite               - 卢布
stalactite               - 夏乳根
stalactite               - 夏石
stalactite               - 石钟乳
stalactite               - 芦石
stalactite               - 钟乳
stalactite               - 钟乳石
stalactite               - 黄石砂
stalk               - 蒂
stamen               - 蕊
stanch bleeding              - 止血
